tweet_ID,label,stance_towards_conspiracy,topic,text
9.78E+17,1,2,0,"But as with many geoengineering ideas, this one isn’t without controversy. Finely powdered salt injected into the upper troposphere might help humanity stave off some of the impacts of climate change, according to Nelson. His suggestion isn’t too far ... https://t.co/banTv4AEtX https://t.co/z4MT3ZkTEr"
1.14E+18,1,1,0,@oceansidewebtv @Puckberger Your proof comes from a conservative think tank that also denies climate change? Hahahahahahhaha. Oh man. I honestly didn’t think you were this stupid
1.47E+18,0,0,3,"RT @BlackNews4Real: @ChrisCuomo Your brother the Governor was on the #LolitaExpress, as well as Bloomberg and Bill Clinton!
@RealCandaceO @…"
1.01E+18,0,0,1,@scottleibrand Fair enough. Was talking from a theoretical not policy perspective. The rationale to invest in geoengineering is still mostly as a worst case option for runaway climate change.
1.02E+18,0,0,2,I'm having a hard time expressing my feelings of the climate change geoengineering debacle
1.05E+18,1,3,0,#IDoNotConsent #WeDoNotConsent #OpEvidence #opstopchemtrails #Chemtrails #SkyBastard #HAARP #Geoengineering #climatechange #SRM #Cloudseeding #BigMoney #NEXRAD #LookUp #SilentWarfare #WeatherWarfare #MAGA #potus #breakingnews https://t.co/WthRPH2nxO
1.26E+18,0,0,1,Tell me why people think COVID 19 is a hoax??? Like they think it’s a scheme by the rich or our politicians?? Like this has hit so many countries so hard and people have died. Literally what’s it like to not be able to think outside your own backyard
1.04E+18,1,3,0,Optimism needs to be distinguished from hope. Much of the optimism surrounding climate change is dominated by technological imaginaries and proposals such as geoengineering the planet through solar ra... https://t.co/0meNd1fKjA https://t.co/u5fcdPrFYQ
1.47E+18,1,3,3,RT @therealdaisymae: Where the f£#% is all the media coverage for the #GhislaineMaxwellTrial?!? Trial of the century &amp; crickets. Y’all are…
9.13E+17,1,3,1,@MorganStanley I'm staring right at chemtrails in Vegas... Genocide is a better word for climate change... Wait till you come back next lifetime 🎃🎃🎃🎃🎃🎃
1.26E+18,1,1,2,Over 40  of Republicans think Bill Gates will use COVID 19 vaccine to implant tracking microc https://t.co/ZZ68eUhbm0 https://t.co/V7UTqSMI6r
1.47E+18,1,3,3,Why aren’t more people talking about this case?! #GhislaineMaxwell #EpsteinFiles #epsteincoverup #EpsteinFlightLogs #GhislaineMaxwellTrial #wakeup #conspiracy #MediaWatch #fypシ #viral #Truth #TikTok https://t.co/6oJ5W5NLK3
9.59E+17,1,3,0,#IDoNotConsent #WeDoNotConsent #opstopchemtrails #SkyBastard #Geoengineering #climatechange #BigMoney #HAARP #NEXRAD #EMF #5G #WiFi #RF #LookUp #SilentWarfare https://t.co/X84parzCkC
1.47E+18,1,3,3,"Where the f£#% is all the media coverage for the #GhislaineMaxwellTrial?!? Trial of the century &amp; crickets. Y’all are a disgrace to humanity. #epsteincoverup
@CNN @FoxNews @NBCNews @MSNBC @nytimes @latimes @WSJ @washingtonpost 
#PedoProtectors"
9.72E+17,1,3,1,Military-style debates? https://t.co/wWNZoFBKXA
1.05E+18,1,3,0,#IDoNotConsent #WeDoNotConsent #OpEvidence #opstopchemtrails #Chemtrails #SkyBastard #Geoengineering #climatechange #SRM #Cloudseeding #BigMoney #NEXRAD #LookUp #SilentWarfare #WeatherWarfare #MAGA #potus #breakingnews https://t.co/8vBUSnGfiR
1.26E+18,1,3,2,"@JVPChicago Israeli Covid 19 crimes against humanity
https://t.co/o7STAfJPPc

https://t.co/3VM2lcxtH8"
1.26E+18,1,2,1,"@r0xie_f0x @skrnyc5 @psfnyc5 @wookietim @ToccyLa @Black_is_back5 @franjerkington @cbowling4512 @WesMar_69 @ThereseOSulliv2 @Klee34036780 @ChiefLizWarren @hrt6017 @boodacat2020 @BenResists @Flattielover @JR10170033 @laylow88861429 @Pompano_Pete @LouT27 @SlimJimJohn1 @GPoopon @corinne_locher @jim16919077 @lostandlovinit @NeoDJT @lanny33571893 @JDW714 @4Cocacoladave @TomDoubting @chrisg409ubc @RogerLHaviland @WTPatty @Beaderino1 @urbansimian @ProtoWatari @motoguzzi2002 @Mongo3804 @MikeGall51 @mary122514 @WalkedAwa @Viva_Del_Santo @RickySi16087724 @AstoryTina @deplorabledora @healdog70 @EDMarsat2017 @CC_Worley @mrmagoo69733861 @royisrael Considering the models &amp; projections of experts about COVID19, 2.1 million American deaths was predicted. 100K or 0.047% of projections is incredible.  President Trump made the hard decision to shut down America to save lives. He has now opened America back up. We will recover"
1.47E+18,1,3,3,@CeddySuperstar @redartkcotsbj @IvyMarieT @DanCGilliam #BillClinton was a frequent flyer on Lolita Express and an Island guest. He represents the high profile men involved that are at risk of exposure in this trial. Appearance of outside influence puts integrity of trial into question. #epsteincoverup
9.04E+17,1,3,1,Hundreds of homes have been evacuated in Los Angeles after the 'largest ever' wildfire hit the area around the city https://t.co/aQYI9k0GuU https://t.co/MBs0tmFUcx
1.26E+18,1,3,2,"RT @g1: Com pressão alta, diabetes, marcapasso e câncer de pele, idosa de 94 anos vence Covid-19: 'Guerreira' https://t.co/stLsd7Op9r #G1 h…"
1.13E+18,0,0,0,"WAKE UP EVERYONE❣
#25thAmendmentNow @duty2warn #DutyToWarn #WednesdayWisdom  #MentalHealthMatters @SpeakerPelosi @RepAdamSchiff @RepJerryNadler @AOC @SethAbramson #Avenatti #leadership #coverup #climatechange #tradewar #China #RussiaGate #TrumpTantrum #wednesdaythoughts https://t.co/smrACAuwjs"
1.05E+18,1,1,0,"@washingtonpost You can put it in their closet of other junk science that includes climate change denial, flat earth theories, and evolution denial."
1.03E+18,0,0,1,#IDoNotConsent #WeDoNotConsent #OpEvidence #opstopchemtrails #Chemtrails #SkyBastard #Geoengineering #climatechange #SRM #Cloudseeding #EverGreenAir  #BigMoney #NEXRAD #LookUp #SilentWarfare #MAGA #potus #breaking https://t.co/I50C5JbCOV
1.26E+18,1,3,2,"RT @LHibrahimy: Bolsonaro is sabotaging the efforts of governors and his own Ministry of Health to contain the spread of COVID-19, putting…"
1.02E+18,1,1,0,"RT @rezendi: Related climate-change prediction: one day geoengineering will go from ""the unthinkable option"" to ""the only option,"" and with…"
1.47E+18,0,0,3,"RT @_TruMerican: #Epstein 
#epsteincoverup 
#epsteindidntkillhimself https://t.co/WDXYZP0IQe"
9.34E+17,0,0,2,RT @FareedZakaria: Our What in the World from Sunday's show looked at solar geoengineering. Is this the future for tackling climate change?…
9.13E+17,1,3,1,A 'geoengineering cocktail' is the latest last-ditch proposal to reverse climate change     - CNET https://t.co/0gkUDxwn9Z
1.06E+18,1,2,0,Next week's episode is all about geoengineering. Is it the easy fix for climate change that we've been looking for? (Spoiler: It's not) #GotScience
1.47E+18,1,3,3,"What a completely rigged sh1tshow!

#EpsteinCoverup #GhislaineMaxwell #GhislaineMaxwellTrial #ZorroRanch 
#EvilJustice #EvilFBI #EvilCongress https://t.co/g4HgNplGXa https://t.co/tthdduEit0"
1.08E+18,1,3,0,@ChuckCallesto There is no climate change caused by the citizen.  It is the geoengineering from governments that effect the climate. #Maga
1.26E+18,1,3,1,"NO, esta NO es “la droga de los iluminatis qe te estan poniendo para matarte para qe aiga muchos muertos”, como se comparte en un video viral de Facebook. https://t.co/18M4RSYhQo"
1.47E+18,1,3,3,"RT @lawyer_beach: To make sure Ghislaine Maxwell doesn’t kill herself, they've hired new federal guards...
#GhislaneMaxwell #GhislaneMaxwel…"
9.06E+17,0,0,2,There has always been severe hurricanes there will always be. Your hysteria is based on 150 yrs of models verses earth's 4.5 billion years. https://t.co/eL0rBeO1xI
1.26E+18,0,0,2,Our COVID 19 story; Cross River state disclosed https://t.co/F9zhZ5G5WG via @habeeb_jay
1.03E+18,1,2,0,"WOW, so many hot button issues in this little #climatechange story from #Texas: #geoengineering, #fakescience, #industrialresponsibility, #privateactors...won't be surprised to hear more like this. https://t.co/5yUQyzAmcT"
1.47E+18,1,2,3,@thehill #EpsteinFlightLogs #epsteincoverup
1.26E+18,1,3,1,"RT @VinayUteriya9: @RealCandaceO This is absolutely hilarious. 

“My dad is Bill gates. My mother is a bat” #COVID19 #Coronavirus"
9.05E+17,1,3,2,"RT @FloridaFrecks: Rush Limbaugh, a Palm Beach resident, says Irma and climate change are a deep state conspiracy. I hope science knocks hi…"
1.26E+18,0,0,1,"RT @LancelotLinkSpy: @WaldrepDenise Trump ignores #COVID19 for months, downplays it, models a disregard for it, gets tested when most Ameri…"
1.47E+18,1,3,3,PEOPLE WILL TAKE YOUR CHILDREN AND SELL THEM FOR MONEY #EpsteinFiles #epsteincoverup
1.26E+18,0,0,2,"@vijayrupanibjp 
Respected CM Rupani Sahab,

Sir covid-19 cases and death rate increasing daily in ahmedabd , please take an urgent action before situation  become out of control. 
Please do sanitization /testing whole city properly .We as a citizen are in fear"
1.47E+18,1,2,3,#GhislaneMaxwell #GhislaineMaxwellTrial #Ghislane #Maxwell #MaxwellTrial #MaxwellTrialTracker #MaxwellCrimeFamily #Epstein #EpsteinFiles #EpsteinFlightLogs #EpsteinIsland #epsteincoverup #EpsteinJustice #Abyss #FriedrichNietzsche #Meme #Memes #sketches #sketch #Court #Courtroom https://t.co/5Kz5Yqbi1q
1.16E+18,1,1,1,"@RMatthewsPsyEdu It's true across all disciplines. There are climate change deniers, flat earthers, anti vaxxers. Don't even get me started on nutrition 'science'. I blame Trump. (Or whatever caused people to be so deluded as to vote for him)."
9.03E+17,0,0,2,Has Infowars claimed the Houston flood was faked yet?
9.08E+17,1,3,0,@reallygraceful @WashTimes Whenever I see people crapping on skeptics of #climatechange I always suggest (nicely) to research #weathermodification with a smiley emoji
1.02E+18,1,3,0,#IDoNotConsent #WeDoNotConsent #OpEvidence #opstopchemtrails #Chemtrails #SkyBastard #Geoengineering #climatechange #SRM #Cloudseeding #EverGreenAir  #BigMoney #NEXRAD #LookUp #SilentWarfare #MAGA #potus #breaking https://t.co/vYhAzcQpZU
1.27E+18,0,0,2,"@BillGates @melindagates @WHO #billgates #covid19 #georgefloyd #cnn @CNN #JoeBiden @JoeBiden 

https://t.co/sFVkx5M6Rz"
1.47E+18,1,3,3,@jotunnUlfhednar's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
9.24E+17,1,3,1,RT @abdullahciftcib: The number of weather-related disasters has quadrupled since 1970. Can “geoengineering” tame climate change? https://t…
1.09E+18,1,3,0,"RT @englishbull1: @Colinja21771976 @826Maureen Did you know that, the majority of climate change calculations are done using a flat earth m…"
1.47E+18,1,2,3,#EpsteinFiles #EpsteinFiles #epsteincoverup https://t.co/Cj8cUfPj7v
1.27E+18,1,3,1,"#11SeptembreSanitaire 

#COVID19 #AmericaConTrump #BillGates #coronavirus #AdamaTraore https://t.co/ZU0ffFEvWY"
1.47E+18,1,3,3,"🤣 well lookie lookie #JustinTrudeau is a just as guilty at being on #pedophileisland with good old #Epstein #EpsteinFlightLogs 

We need to get the loser out of office and I'm ready to drag him out by his feet dragging his face through the gravel! https://t.co/Uk9sFQlVEf"
9.40E+17,1,3,2,Beryllium-10 concentrations in icecores are a proxy for past solar activity cycles Recent decay indicates #GlobalWarming linked to most historic solar maximum in last 9300yrs  Whilst every #cooling cycle linked to low sunspot activity - even 1900's &amp; 1960's #climatechange https://t.co/w3poo901MC
1.12E+18,1,1,0,"RT @B_H_Lloyd: When antivaxxers/flat earthers/climate change deniars jump on me with their uneducated crackpot arguments: seriously?

I hav…"
1.26E+18,0,0,1,"#DrainTheSwamp2020 #DrainTheSwamp of all 
#Corruption inside these fronted institutes and organizations!!! Why would #Congress give #PlannedParenthood almost 1/4 of a billion from 
#COVID19 funds? #fauci always flip flopping?
And #Gates testing vaccines in India? #biden in #CCP?"
1.47E+18,1,2,3,@kelly2277 @HillBeverlyhill @TrueFactsStated #EpsteinFiles #epsteincoverup
9.08E+17,1,3,2,"""Go to the scientists and ask them. They speak very clearly.""

Pope Francis has a brief but blistering message for climate change deniers: https://t.co/EJjOQWEFoE"
1.07E+18,1,2,0,"RT @ebcripps: Great piece by Catriona McKinnon @RdgClimateJust COP24: time is running out on climate change, but geoengineering has dangers…"
1.25E+18,1,2,3,@unibern #Saiba @WHO #swissmedic #COVID19 #coronavirus #pandemic @Novartis @LonzaGroup #Switzerland #vaccine
9.37E+17,0,0,2,"RT @PlanetLuvie: Somehow flat earth and climate change denial channels are allowed, but a climate change information channel is taken down…"
1.47E+18,1,3,3,"To make sure Ghislaine Maxwell doesn’t kill herself, they've hired new federal guards...
#GhislaneMaxwell #GhislaneMaxwellTrial #EpsteinFlightLogs #epsteincoverup https://t.co/btp4v0nWOG"
1.03E+18,1,1,0,"Blocking sunlight to cool Earth won't reduce crop damage from global warming.  Solar geoengineering could reduce temperatures and heat stress, but also reduces photosynthesis
https://t.co/husrt00QPh #ClimateAction #climatechange"
1.47E+18,1,2,3,#EpsteinFiles #PedophileTrump #Trump #epsteincoverup https://t.co/KPzq3U65Fe
9.54E+17,1,3,2,"RT @mark_lynas: The @theAGU has just issued a new position paper on geoengineering - though it's now called ""climate intervention"". Says ""m…"
1.47E+18,1,2,3,"@DanCGilliam Only because I listen to the radio and quit watching tv a long time ago.
#epsteincoverup"
1.06E+18,0,0,0,"Purley area 15:31

They are making us sick. 

#GeoEngineering #SRM #climatechange #Aluminium  #WEATHERMODIFICATION  #SULPHURICACID #Barium #Opchemtrails #CloudSeeding #HARRP #WEDONOTCONSENT https://t.co/aB4bR15Uro"
1.47E+18,1,3,3,The absolute fuckery and bullshit around this case/trial. BULLSHIT!! #epsteincoverup #epstein #EpsteinIsland #GhislaineMaxwellTrial #Ghislaine fuck the media!!!🗣🗣🗣🗣 https://t.co/M9gcrXBd55
9.60E+17,1,3,1,"@TheGayChrist Is it a mental illness to believe anything that might not be true?  Whether it be a god, climate change, flat earth, jet fuel not melting steal beams, you name it. Some people are brainwashed. Mental illness is a medical condition."
1.07E+18,1,1,0,"RT @GeorgeTakei: Following recent guest appearances of climate change deniers, CNN will put flat earthers on the air in order to balance fa…"
1.26E+18,0,0,2,El éxito de estar ya 2 días sin fallecidos y con la tasa de recuperación en alza . #Israel  #UnLugarEnElMundo https://t.co/wS0hZbHBMS
1.25E+18,1,3,3,A Must Read Article On Bill Gates. #BillGates #Vaccines #SayNoToBillGates #Coronavirus #Covid19 #Breaking #News https://t.co/z6sDwsjkgc
9.05E+17,1,2,1,JFC https://t.co/3TGwphXUPL
1.15E+18,1,3,1,"RT @SBakerMD: Choosing to eat a meat based diet does not mean you are

A flat earther 
Anti-vaccine
A climate change denier
A right wing ex…"
9.42E+17,0,0,0,The latest The Lodewijk Hof Daily! https://t.co/TTVwZaAqb3 Thanks to @deplaf @LauraMonathen @erbenwennemars #climateaction #climatechange
1.47E+18,1,3,3,"RT @youspecialagent: The elites and their enablers are suddenly terrified.
I wonder why ?
#epsteincoverup"
1.27E+18,0,0,2,Wuhan Virus was political too #Scamdemic #Plandemic #Tucker
1.26E+18,1,2,1,"As on 25 May 2020, 08:00 AM, India had reported 1,38,845 confirmed Covid-19 cases, with 57,721 people cured/discharged/migrated, 4,021 deaths and 6,977 new cases in past 24 hours. #COVIDー19 
@MoHFW_INDIA https://t.co/xhFOmViAuf"
1.10E+18,0,0,0,@StThrobber @MarcherLord1 Do with teaching. They are not taught party politics in schools. As for impartiality- in climate change or crisis that has in the past meant Lawson being wheeled out. He is the equivalent of a flat earther. Likewise Trump.
1.26E+18,0,0,1,@cheyorwhatev ya son gon find the cure for coronavirus
1.47E+18,1,3,3,RT @churp698776: The White House &amp; royals not only protected pedofiles and human trafficking.. they were involved. Where is the media on th…
9.06E+17,1,3,1,Because a flat earth can't have climate change https://t.co/Qxp3B3NPHN
9.23E+17,1,2,2,"JUST IN: Climate change costing taxpayers billions of dollars in disaster relief, according to new government study https://t.co/NzRHQH158I https://t.co/tQXwVQgQjG"
1.11E+18,1,3,0,@neenee_annette @ewarren Aint no climate change cuz aint no globe earth cuz chemtrails are turning the friggen frogs gay!!!
1.47E+18,1,3,3,The White House &amp; royals not only protected pedofiles and human trafficking.. they were involved. Where is the media on this!! #epsteincoverup #whitehouse #billclinton #princeandrew #GhislaneMaxwellTrial https://t.co/oc4XVYe6jW
9.03E+17,1,3,2,"RT @cmu_africa: ""The ultimate goal is to build an interconnected network within the region."" @langleydew #climatechange #rwanda #africa"
1.27E+18,1,1,1,".#SCAMdemic
#Plandemic https://t.co/MUuxUb7bCr"
1.04E+18,1,3,0,Climate change kills Antarctica's ancient moss beds - hey #bbc the only climate change going on are the fucking #chemtrails you bastards are not reporting. Why do you never mention this shit being sprayed in our skies !??  Cos you’re covering up  https://t.co/9NXlXY2qDW
1.47E+18,0,0,3,"@PatriciaDuffie7 @TrackerTrial #KeepMakingNoise🗣
https://t.co/cgrkXsgI4W

https://t.co/OAtqvttjSz

https://t.co/bfoW7Oujzd

https://t.co/yJXn26SsF2
#SAVETHECHILDERN #children  #HumanTrafficking #childtrafficking #sextrafficking #trafficking #children #victims #Survivors #MaxwellTrialTracker #epsteincoverup"
1.11E+18,0,0,2,RT @futurism: Just a pinch of geoengineering could lessen climate change with fewer side effects. https://t.co/LeyDOALOYH
9.05E+17,0,0,1,@AbstractCode Physics is just a lifestyle choice. Ask @SenatorMRoberts. #haarp #chemtrails #fluoride #climatechange #bleepbleepbleep
1.47E+18,1,3,3,"RT @JohnCordBooks2: WHEN will #humans #WakeUp to AGE-OLD #PSYOP of #hypocrites &amp; #criminals who ""Love God"" &amp; hate what #JesusIsLord means?…"
9.70E+17,1,2,1,"#IDoNotConsent #WeDoNotConsent #opstopchemtrails #SkyBastard #Geoengineering #climatechange #BigMoney #HAARP #NEXRAD #EMF #5G #WiFi #RF #LookUp #SilentWarfare
 https://t.co/qQD8fBuJsR https://t.co/KfX8YiRE2s"
1.03E+18,1,2,2,@lbox327 @socalmomto2 @WhiteHouse @FULLDEFENCE We are bugs. https://t.co/akMGGgJyns
1.27E+18,0,0,2,The #PlanDEMic is a Hoax There are people getting sick mostly Blue states where they murdered the elderly by contaminating rest homes. #TakeAmericaBack #TruthWins #GodWins #TrumpWins #AmericaWins #MAGA #Trump2020Landslide #CorruptDemocrats  #LockThemAllUp #WeAreStrongUnited https://t.co/vwC5cpJQQL
1.26E+18,1,3,1,"#LearnAbout5GDrones: Considering COVID-19 impact and safety restrictions that apply worldwide, the 4th 5GDrones GA #meeting is organized remotely(25-26/05/20)! We stay #online and meet #virtually! We stay safe! @5GPPP  #eu #virtual_meeting #h2020 #ict #5g #unioulu @UniOulu https://t.co/eQi1MSn0n7"
1.47E+18,1,3,3,"President #Truth ... oh, there's never been one of those in my lifetime. Just a bunch of #God &amp; #Jesus Loving #Hypocrites #Criminals #Fascists 

FAMOUS #ATHEISTS &amp; #FAKEGODLOVERS DENY WHAT #LAW1OFGOD, JEW &amp; GENTILE MEANS; #EPSTEINCOVERUP; END NWO FASCISM
https://t.co/qtrmtIu0TH https://t.co/WEwmPfxRNs https://t.co/seg8iM9TVl"
1.27E+18,1,3,1,"@WHO #China &amp; #Gates s well #Plandemic is over.. 
now new series in show; #protest2020 meanwhile They Keep Working at Labs to strengthen the virus to bring 2nd wave!
@JackPosobiec @DrButtar https://t.co/Lu6sWTZzCu"
1.47E+18,1,3,3,"And yet we're drilled w/Ben Franklin #psyop to put #Freedom before #SafetyFirst 
What good is #FreedomInternet #FreedomOfSpeech if you're dead?

#FAKEGODLOVERS DENY WHAT #LAW1OFGOD, JEW &amp; GENTILE MEANS; #SEPTEMBER11 &amp; #EPSTEINCOVERUP; END #NWO #FASCISM
https://t.co/qtrmtIu0TH https://t.co/Lcy4jIgX9Z https://t.co/XKLqWhRzto"
9.07E+17,1,3,0,@Mikel_Jollett @GeorgeTakei This is #geoengineering at work not #CO2! Carbon Dioxide is not and never could be a hurricane stimulant. #Irma #climatechange is the Sun!
1.11E+18,0,0,0,"@BoudewijnC @rbrnd @larsroobol @yorian @LakaNieuws @remcodb @HenriBontenbal Doe jij hem eens af!
""The authors of a new MIT study say that unless nuclear energy is meaningfully incorporated into the global mix of low-carbon energy technologies, the challenge of climate change will be much more difficult and costly to solve.""
https://t.co/NHEOybHuQL"
1.25E+18,1,3,3,"RT @grose_lord: No vaccine will protect us, but it will destroy us! https://t.co/ay8ufq9WZ3"
9.03E+17,1,1,1,"RT @cmu_africa: ""The ultimate goal is to build an interconnected network within the region."" @langleydew #climatechange #rwanda #africa"
1.27E+18,1,3,2,Unser Staatsfunk nennt sie Demonstranten  -  #BSD #VV #BillGates #RFID #NWO #GG146 #CoronaProtest #Qorona #COVIDー19 #Kontaktverbot #VV #ddbradio #WHO #Impfen #Impfplicht   -  https://t.co/uQYXiz3O4D https://t.co/nWAT98eoru
9.65E+17,1,2,0,RT @TheEconomist: How geoengineering could reverse climate change https://t.co/LEkw6nJ5iC
1.05E+18,0,0,0,"What is geoengineering? https://t.co/wwdORYyv3J
#climatechange #climateaction 
#environment 
#energy https://t.co/0nObzhO3Io"
1.27E+18,0,0,2,"Covid 19 mask vitarn 
#CoranaVirüs #lockdown5guidelines  #WorldEnvironmentDay #ChintuKaBirthday #Bhopalgarh https://t.co/8CHmf3vAlL"
